"route_id","route_short_name","route_type","route_desc","route_color"
"1560","156","3","Széll Kálmán tér M / Dániel út","009FE3"
"1570","157","3","Hűvösvölgy / Solymár, Kerekhegy","009FE3"
"1571","157A","3","Hűvösvölgy / Budaliget, Géza fejedelem útja","009FE3"
"1580","158","3","Savoya Park / Jégmadár utca","009FE3"
"1582","158B","3","Savoya Park / Budafoki temető","009FE3"
"1590","159","3","Csepel, Szent Imre tér / Szent László utcai lakótelep","009FE3"
"1600","160","3","Óbudai rendelőintézet / Békásmegyer H","009FE3"
"1610","161","3","Örs vezér tere M+H / Kucorgó tér","009FE3"
"1611","161A","3","Örs vezér tere M+H / Rákoskeresztúr, Kis utcai lakótelep","009FE3"
"1620","162","3","Kőbánya alsó vasútállomás / Maglód, Auchan áruház","009FE3"
"1621","162A","3","Kőbánya alsó vasútállomás / Rákoskeresztúr, városközpont","009FE3"
"1640","164","3","Hűvösvölgy / Solymár, PEMÜ","009FE3"
"1650","165","3","Kolosy tér / Remetehegyi út","009FE3"
"1660","166","3","Gubacsi út / Határ út / Ferihegy vasútállomás","009FE3"
"1685","168E","3","Örs vezér tere M+H / Rákoshegy, Ferihegyi út","009FE3"
"1695","169E","3","Örs vezér tere M+H / Pécel, Kun József utca","009FE3"
"1700","170","3","Újpest-Központ M / Rákospalota, Csömöri-patak","009FE3"
"1720","172","3","Kelenföld vasútállomás M / Bartók Béla utca","009FE3"
"1722","172B","3","Kelenföld vasútállomás M / Bartók Béla utca","009FE3"
"1730","173","3","Kelenföld vasútállomás M / Nyár utca","009FE3"
"1740","174","3","Örs vezér tere M+H / Cinkota H","009FE3"
"1750","175","3","Újpalota, Szentmihályi út / Cinkota H","009FE3"
"1765","176E","3","Örs vezér tere M+H / Rákoscsaba-Újtelep, Tóalmás utca","009FE3"
"1780","178","3","Naphegy tér / Keleti pályaudvar M","009FE3"
"1790","179","3","Csepel, Szent Imre tér / Közvágóhíd H","009FE3"
"1810","181","3","Aszódi utca / Nagykőrösi út / Határ út","009FE3"
"1820","182","3","Kőbánya-Kispest M / Alacskai úti lakótelep","009FE3"
"1830","183","3","Pestszentlőrinc, Szarvas csárda tér / Szemeretelep vasútállomás","009FE3"
"1840","184","3","Kőbánya-Kispest M / Pestszentimre, Benjámin utca","009FE3"
"1850","185","3","Kőbánya alsó vasútállomás / Mádi utca","009FE3"
"1860","186","3","Békásmegyer H / Donát utca","009FE3"
"1870","187","3","Kelenföld vasútállomás M / Kamaraerdő","009FE3"
"1885","188E","3","Kelenföld vasútállomás M / Budaörsi Ipari és Technológiai Park","009FE3"
"1910","191","3","Nyugati pályaudvar M / Sarolta utca","009FE3"
"1935","193E","3","Kőbánya-Kispest M / Vecsés, Market Central Ferihegy","009FE3"
"1940","194","3","Határ út M / Tövishát utca","009FE3"
"1942","194B","3","Határ út M / Kele utca","009FE3"
"1950","195","3","Puskás Ferenc Stadion M / Rákoskeresztúr, városközpont","009FE3"
"1960","196","3","Újpalota, Szentmihályi út / Újpest, Fóti út","009FE3"
"1961","196A","3","Újpest-Városkapu M / Újpalota, Szentmihályi út","009FE3"
"1970","197","3","Rákoskert vasútállomás / Rákoskert vasútállomás","009FE3"
"1980","198","3","Dél-pesti autóbuszgarázs / Rákoscsaba-Újtelep, Tóalmás utca","009FE3"
"1990","199","3","Határ út M / Áchim András utca","009FE3"
"2005","200E","3","Kőbánya-Kispest M / Liszt Ferenc Airport 2","009FE3"
"2015","201E","3","Kőbánya-Kispest M / Kucorgó tér","009FE3"
"2025","202E","3","Kőbánya-Kispest M / Kucorgó tér","009FE3"
"2040","204","3","Rákospalota, Kossuth utca / Békásmegyer, Újmegyeri tér","009FE3"
